aah|00867440
cook_out|00325607
cook_up|01670026,01637966
cool|00371065,00370517,00370779
cool_down|00371065,00370779,00370517
cool_it|01767681
cool_off|01767681,00370779,01781624
cool_one's_heels|02644290
coop_in|01350201
coop_up|01350201
cooper|01663038
cooperate|02421408
coordinate|00405549,02442752,02443093,00466966
cop|02327226,01217701
cop_out|00681634
cope|02593624
copolymerise|00267277
copolymerize|00267277
copper|01268444
copper-bottom|02358404
copulate|01431486
copy|01751182,01746767,01738810,01697776
copy_out|01751410
copyedit|00629787
copyread|00629787
copyright|02244315
coquet|01039782
coquette|01039782
corbel|02357820
cord|01506473,01289277
cordon_off|01591218
corduroy|01754703
core|01593444
core_out|01285148
cork|01426277,00322142
cork_up|01426277
corkscrew|02053510
corn|01181452,00529305
corner|02447789,01938064,01913268
cornice|02357942
coronate|02396091
corrade|01256577
corral|01603399,01468827,01384450
correct|00200023,02525657,00825981,02678329,02559125,01975617,00296959,00079223
correlate|02665057,00715901
correspond|02663315,02639615,01008855,02705339
corroborate|00667804,01014570,02669418
corrode|00275082,00274762
corrugate|01389818
corrupt|02585532,02288941,01540747,00203443
corset|00049386
coruscate|02772348,00473934
cosh|01404206
cosign|02470568,01000075
cosponsor|02225131
cosset|02576182
cost|02708368,02635042
costume|00051478,02342541
cotton|01781028
cotton_on|00591761
cotton_up|01808720
couch|00983308
cough|00005815
cough_out|00006238
cough_up|02204855,00006238
counsel|00874568
count|00950103,02651923,00952463,00949889,02737507,00686982,02753015,00714537,00714385
count_down|00949749
count_off|00977765
count_on|00713964
count_out|01103724
countenance|00803980
counter|00817041,02571406
counter-drill|01446250
counteract|02570756,02570888,02549571,02549304
counterattack|01127510
counterbalance|02678329,02672590,02549571
counterchallenge|00810190
counterchange|00121734
countercheck|02570888,02539174
counterclaim|01020654
counterfeit|01657814
countermand|00801460
countermarch|02001052,00660931
countermine|02549304,01128308
counterplot|00709319
counterpoint|02672941,01709700
counterpoise|02672750
counterpose|02672750
countersign|00999477
countersink|01533061
counterstrike|01127510
countervail|02723890,02549571
counterweight|02672750
country-dance|01900288
couple|01295488,01300210,02496079,01431486
couple_on|01300210
couple_up|01300210
course|02071468,02070867,01147339
court|02540158,02540602,02540427
court-martial|02504821
court_favor|00882850
court_favour|00882850
covenant|02480203,01032865
cover|01335412,01210571,02693758,02681746,01035399,02635874,01916152,00969130,01131627,02400142,02152799,01150762,00969487,00892737,02678648,02479869,02400336,02315654,02151539,01585121,01433080,01339317,01152476,01151046,00059956,00048350
cover_for|00897451
cover_up|02152799
covet|01831174
cow|01783720
cower|02067916,02067699
cowhide|01414422
cowl|01339906
cox|02451998
cozen|02581157,02580949,02293561
cozy_up|01808720
crab|01936557,01906671,01142491,00912926
crack|00337070,02187470,02187297,01404609,00540850,00338044,00337875,02576982,01789398,00955955,00337528,00239428,00239258
crack_down|00419874
crack_up|01789398,00862997,00030359
crackle|02179828,01060096,00122456
cradle|01224741,02545959,01880728,01558430,01539451,01078907
craft|01662656
cram|01527086,01615199,00607178,00408071
cramp|01307126,00237139,00031174,00031061
cranch|01597899
crane|00028160
crank|01995776,01862782,01598070,01344497,01283561
crank_out|01757080
crank_up|01862782,01598070
crap|00073791
crap_up|01481639
crape|01602726,01226397
crash|01976584,02092894,01564601,02023134,01564843,02663176,02181956,02022863,01564990,01510039,00584141,00435872,00017667
crash-dive|01971930
crash_land|01984780
crate|01489304
craunch|01597899
crave|01191018,00760583
crawfish|00801045
crawfish_out|00801045
crawl|01889838,02736557,02721923,02067699,01965981
crawl_in|00017858
crayon|01696604
craze|01791641,00338378
creak|02176108
cream|01420691,01415566,01367186,01263582,00171352
cream_off|01263582,00679364
crease|01280991,01280348,01243078,00565934
create|01620211,01757596,01689208,02481808,01643749,01624592
create_by_mental_act|01635076
create_from_raw_material|01656555
create_from_raw_stuff|01656555
create_mentally|01635076
create_verbally|01701711
credit|00729105,00729753,02269560,00685849
creep|01889838,01915881,02064516,02067699
creep_in|01231430
creep_up|01997244
cremate|00379825
crenel|02340625
crenelate|02340625
crenellate|02340625
creolize|00116173
creosote|00186591
crepe|01602726
crepitate|02179828
crescendo|00547809
crest|02699010,02011791
crew|01092025
crib|02581052,02283315,01274798
crick|00025503
cricket|01078410
criminalise|02486512
criminalize|02520746,02486512
criminate|00844668,00825330
crimp|01459835,01226397
crimson|00103071
cringe|02064997,02067699
crinkle|01280991,00565934
cripple|00226258,00091399
crisp|01280991,00322952
crispen|00322952
crisscross|01917230,01279364,00511794
criticise|00828170,01098508
criticize|00828170,01098508
critique|00857194
croak|00359085,01066423,00911172
crochet|01676648,01676385
crock|02064887,01537790
crock_up|01789398
cronk|01066423,01055211
crook|02038516
croon|01051342
crop|01556543,01745327,01656079,01579309,01578996,01323662
crop_out|00426798
crop_up|02161949
croquet|01603794,01157135
cross|01916152,02027242,02563998,01918650,02691213,01917990,01695693,01432586
cross-check|00665600
cross-dress|00051354
cross-fertilise|00053606,00053373
cross-fertilize|00053606,00053373
cross-file|02477456
cross-index|02478381
cross-link|01294130
cross-pollinate|00053776
cross-refer|01027944
cross_examine|00788711
cross_off|00802412
cross_oneself|00900331
cross_out|00802412
cross_question|00788711
crossbreed|01432586
crosscut|01603946
crosshatch|01699871
crossruff|01080966
crouch|02066560,01548096
crow|00885156,00859199,00859335
crowd|02032568,02655407,02031458,02058788
crowd_out|02017692
crowd_together|02031458
crown|02396091,00486822,02700519,01340929
crucify|02489638,01806967,01805829,00825488
cruise|01935537,01848801,02158461,01848595
crumb|01268304,00339676,00180342
crumble|02045722,00398311,00209244
crump|02189243,01138819,00307973
crumple|02045722,01281789,01281420,00565934
crunch|01060096,01597899,01204331,00331892
crusade|02595732,01096355
crush|02429499,01596858,01104324,00339895,01804206,01495601,01106247,00560467
crush_out|00479613
crust|00357443
cry|00915018,00065962,00914001,00976818,01191520,00987496,00066456
cry_for|02635192
cry_out|00914001
cry_out_for|02635192
crystalise|00622730,00446895,00444625,00143524
crystalize|00622730,00446895,00444625,00143524
crystallise|00622730,00446895,00143524
crystallize|00143524,00622730,00446895,00444625
cub|00057728
cube|00641924,01259431
cuckold|02582588
cuckoo|00959977
cuddle|01427599,01428162
cudgel|01426760
cue|00879379
cuff|01419816,01290804
cull|02229563,01384737
cull_out|00679122
culminate|00486540,00354684,02532600,02025625,00143860
cultivate|01746607,01745327,02393545,00303245
culture|00246666
cumber|01303637
cumulate|00158612
cup|00478759,00189394,00087042
curb|02516039,01303523,00237442
curdle|00458725,00443955,00443802
cure|00081478,00528652,00529015,00528881
curl|00362781,02102736,01526774,01226180,01076467
curl_up|02102736
curry|02196671,00517374,00045370
curry_favor|00882850
curry_favour|00882850
currycomb|01599776
curse|00867051,00867978,00867622,01032430
curtail|00237442,00293639
curtain|02358533
curtain_off|02035855
curtsey|02044394
curtsy|02044394,00901115
curve|02037140,02744576,02038831,02038516,00362781
curvet|01970359
cushion|01579748
cuss|00867051
custom-make|01626526
customise|01626526,00388590
customize|01626526,00388590
cut|01555301,00430013,02037140,01613738,02427383,01758723,01670612,01416571,01066821,00202086,02619895,02594436,02138697,02105927,01919858,01919723,01864093,01863981,01760407,01760260,01760121,01758545,01717350,01614027,01613894,01558219,01513208,01323084,01322398,01229652,01061436,00562167,00474253,00448609,00430921,00293269,00244786,00226497,00108279,00095890,00060990
cut_across|01916152,02613693,01603946
cut_away|01864306,01556769
cut_back|02008715,00430013,01323662,00237442
cut_corners|01716413
cut_down|00430013,01325339,01242426,01106920,01322222,01260866
cut_in|02300408,02061802,00782236,00521274,00397140
cut_into|01312361
cut_off|00780320,00293269,01301854,01443265,01262022,01257256
cut_out|00473602,01557581,01443265,01552501,01106920,00352964
cut_short|00363458,00521682,00318042,00293639
cut_through|01916152
cut_to|01864471
cut_to_ribbons|01086331
cut_up|01258531,00293434,00484732,00201982
cutinize|00587150
cybernate|01722811
cycle|02056599,02055194,01939907,01939335,00344425
cycle_on|02055368
cyclostyle|01752386
cypher|00996121,00638921
dab|01235758,01235591
dabble|01980398,02424713,02421160,01869561
dado|02231341,01460339
daisy-chain|01357979
dally|02442312,02015537,01039782,00713761
dam|01479854
dam_up|01479854
damage|00259743,00589255
damascene|01686341
damn|00867622
damp|02195757,00574162,00391231,00390886
dampen|00391513,00218382,02195757,00392255,00391231,00391130,00390886
dance|01898642,01712535,02103353
dandify|00051659
dandle|01869712,01214145
dangle|02723347,01484915
dapple|00511445
dare|02380015,02550742,00869761
darken|00313162,01540617,00312341
darn|01333358
dart|01903884,02065423,01903701
dash|02065423,00336733,01510039,02564529,01789567,00184522
dash_down|01022603
dash_off|01704514,01022603
date|02491462,00737394,00620873,02491850,00736950
date-mark|00737229
date_back|02729826
date_from|02729826
date_stamp|00737394
dateline|00737229
datemark|00737229
daub|01363602,01315909,01235951
daunt|01789567
dawdle|02062514,02015537,02001894
dawn|00593150,02615649,00529916
daydream|01641175,02423305
daze|02166865,02119913
dazzle|02166865,00727008
de-access|02252557
de-aerate|02368971
de-emphasise|00515811
de-emphasize|00515811
de-energise|00023237
de-energize|00023237
de-escalate|00291745,00291502
de-ice|00377478
de-iodinate|00522113
de-ionate|00521840
deaccession|02248749
deactivate|00192060,00191849
deaden|00391231,01611026,00440042,00439909,00193672,00192383,00116696
deaerate|02368971
deaf|02194386
deafen|02194523,02194386,00317191
deal|01035399,00736077,02376078,02593624,02299397,02249738,02441196,02382855,02251238,02450374,02299140,02251468,02250775
deal_out|02299397
deaminate|00574324
deaminize|00574324
debar|02507686,02458770,00798250
debark|01983255
debase|02585532,00494453,00488684
debate|00716789,00814706,00814242,00775477
debauch|02585532
debilitate|00390309
debit|02270368
debone|00197798
debouch|02088170,00531371
debrief|00833137
debug|00200606
debunk|00854877
debut|01721874,01721487,01721710
decaffeinate|02369071
decalcify|00500385,00500243
decamp|02081104,02077642,02014550
decant|02074224
decapitate|01574185
decarbonate|02369170
decarbonise|00531522
decarbonize|00531522
decarboxylate|00502799,00502615
decarburise|00531522
decarburize|00531522
decay|00399980,00209244,00553892
decease|00359085
deceive|02581157,00856102
decelerate|00440913,00439450
decentralise|00406465
decentralize|00406465
decerebrate|02369265
decertify|02449965
dechlorinate|02369392
decide|00699355,00700621,00701251,00703643
decimalise|00531909,00531672
decimalize|00531909,00531672
decimate|00471989,00471632
decipher|00996499,00627767
deck|02754802,01683875,01415000
deck_out|00043880
deck_up|00043880
declaim|01053236,00912317
declare|01012145,00967903,00822462,00824028,02449420,02305510,01012879,00979721
declare_oneself|00881285
declassify|02514756
declaw|00197365
decline|00204228,02242120,00799092,00432779,02043721,01975617,00984945
declutch|00532148
decoct|00375564,00238145,00214138
decode|00996499
decoke|00531522
decollate|01574185
decolonise|02596823
decolonize|02596823
decolor|00280592
decolorise|00280592
decolorize|00280592
decolour|00280592
decolourise|00280592
decolourize|00280592
decommission|02317722
decompose|00209582,00399980,00210263
decompress|01392261,00404874,00026378
deconcentrate|00406465
deconsecrate|00868726
deconstruct|00940779
decontaminate|00493988
decontrol|02472822
decorate|01679858,02754802,02552743,01469172
decorticate|01266563,00176884
decouple|01300399,00716178,00472507,00472354
decoy|02583840
decrease|00151509,00442400
decree|01029517,00717773
decrepitate|00122293,00122097
decrescendo|00547953
decriminalise|02487025
decriminalize|02487025
decry|00865823
decrypt|00996499
decussate|01918106
dedicate|00888984,02401138,00888663,00679885
dedifferentiate|00119533
deduce|00638236,00946956
deduct|00642914,02219783,00638236
deed_over|02260750
deem|00695546
deep-dye|00284344
deep-fat-fry|00326578
deep-fry|00327111
deep-six|02227776,01512456
deep_freeze|00376088
deepen|00227591,00226992,00571601,00552287
deface|01552687
defalcate|02297496
defame|00848188
defang|00197466
defat|02369490
default|02258574
default_on|02258574
defeat|01110559,02479111
defecate|00073791
defect|02590182
defeminise|00060472
defeminize|00060472
defend|00896689,01130221,01132302,01093838,01151604,02587760,01019652
defenestrate|01511516
defer|02648898,00879879
defervesce|00572978
defibrillate|02558699
defibrinate|02369572
defile|01540747,01540197,00493346
define|02617665,00959410,02704161,02742653,00949109
deflagrate|02778268,00586225
deflate|01439502,01439358,00857916,00563797,00563380,00265591
deflect|02458770,02038145,02037650,01795785,01149526
deflower|01431014,00478872
defog|00362294
defoliate|00196157
deforest|00196368
deform|01587796,01353381,01282617,00478596,00477675,00140787
defraud|02578034
defray|02354941
defrock|02482154
defrost|00377478
defuse|01140122
defy|02712676,02713660,00869761
degas|00181325
degauss|00401007
degenerate|00092045
deglaze|01668599
deglycerolise|01991950
deglycerolize|01991950
degrade|01310556,01804404,00208136
degrease|02369667
degust|01198208
dehisce|00308887
dehorn|00198742,00197581
dehumanise|01805279,00480748
dehumanize|01805279,00480748
dehumidify|00216483
dehydrate|00213216,00211822,00211534
dehydrogenate|00309181
deice|00377478
deify|00695167,00546220
deign|02597468
deionize|02369766
deject|01818363
delay|00460731,02648041,00461855,00441241
delegate|02400537,02396945
delete|01551969,01001860,00201227
deliberate|00814706,00814242
delight|01819595,01193481,01821281
delimit|02617665,02699684,00732286
delimitate|02617665,00732286
delineate|02742653,02617665,01693274,01585566,00991116
deliquesce|00554130,00377296
delist|02369848
deliver|00991634,01440941,02298282,02556841,02509014,01064275,00991901,02557299,02363326,02240011,01511711,00056644
deliver_the_goods|02529837
delocalize|02369964
delouse|00532243
delude|02581157
deluge|01527311,00753137,00218126
delve|01312361
demagnetise|01000807,00401007
demagnetize|01000807,00401007
demand|00756987,02634015,01019835,01071112,01071007,01020074
demarcate|00732484,00732286
demasculinise|00060604
demasculinize|00060604
dematerialise|00345146
dematerialize|00345146
demean|01804404
demilitarise|01101801,01090246
demilitarize|01101801,01090246
demineralise|00575591
demineralize|00575591
demise|02225696
demist|00362294
demo|02153218
demob|01090603
demobilise|01100617,01090603
demobilize|01100617,01090603
democratise|02539573,02539414
democratize|02539573,02539414
demodulate|01354304
demolish|01660001,01660252,01199565,01085766
demonetise|00495039
demonetize|00495039
demonise|00548380
demonize|00548380
demonstrate|02153218,00666706,00822637,02527482
demoralise|02585532,01818363
demoralize|02585532,01818363,00623876
demote|02404473
demulsify|00502240,00502129
demur|00809603,01018635
demyelinate|01761040
demystify|00519932
demythologise|00135386
demythologize|00135386
denationalise|00412717
denationalize|00412717
denaturalise|00413785,00413436
denaturalize|00413785,00413436
denature|00555187,00554951,00554804
denazify|00502369
denigrate|00866139,00848188
denitrify|00503413
denominate|01032165
denote|00934123,00933429,00976399
denounce|00843259,02513894,00844108,00843665
dent|01282234
denudate|00195256
denude|00195256
deny|00818217,00818664,02218972,02217607,02217856,01070402,00818828
deodorise|02131328
deodorize|02131328
deodourise|02131328
deoxidise|00238763
deoxidize|00238763
deoxygenate|02370072
depart|01852660,02667330,02018017,02012411,02388582,02070232
depend|02670312,00714537
depend_on|02717862,02670095,02669926
depend_upon|02717862,02670095
depersonalise|00388967
depersonalize|00388967
depict|01690851,00989103,01692151
depilate|00037507
deplane|02020150
deplete|01159815
deplore|00827994,00913303
deploy|01151793,01382265
deplumate|01386929
deplume|02320028,01386929
depolarise|00575418
depolarize|00575418
depone|01015049
depopulate|00532382
deport|02523827,02509014,02504961
depose|02410394,01015049
deposit|01530857,02315835,01578506
deprave|02585532
deprecate|00858111,00857615
depreciate|00857615,00316131,00315821
depress|01818363,01977946,01577754,01577597,00225864
depressurise|00404874
depressurize|00404874
deprive|02319255,02318230,00172745
depute|02400537,02399587,02396945
deputise|02399804,02399587
deputize|02399804,02399587
deracinate|02544219,01569697
derail|02015895,02015717
derange|01768438,00277400
derate|00532724
derecognise|02449965
derecognize|02449965
deregulate|02517671
derequisition|02281047
derestrict|02515773
deride|00854604
derive|00638236,02297086,00252677,00252501,02743062
derogate|00866139
desacralize|02226576
desalinate|00532984
desalinise|00532984
desalinize|00532984
desalt|00532984
descale|01266712
descant|01714695,01052523,01036519
descant_on|01707988
descend|01974840,02743062,02597468,00342819
describe|00989103,00967067,01585566,00654017
descry|02158742
desecrate|02573980,00868726
desegregate|02487489
desensitise|02119407,00273482
desensitize|02119407,00273482
desert|00615748,02590182,01846309
deserve|02652462
desex|00061366
desexualise|01957534,00061366
desexualize|01957534,00061366
desiccate|00213216,00211822,00211534
design|01641910,00711454,01644092,01643256,01757404,01637367,00700338
designate|01032165,02396945,00925764,00748465,00711208
desire|01829179,01830665,01830320
desist|01198570
desolate|00615748,00532382,00389306
desorb|00571282,00571080
despair|01814900
despatch|01958986
despise|01778720
despoil|02349564,01568253
despond|01815139
desquamate|00009485
destabilise|00272976,00272510
destabilize|00272976,00272510
destain|02370167
destalinise|00570395
destalinize|00570395
destine|00748465,00711208
destress|00515811
destroy|01622948,01566925,01085766,01329210
destruct|01623725,01622948
desulfurize|02370293
desulphurize|02370293
desynchronise|00395469
desynchronize|00395469
detach|01301254,02035467,01302344
detail|00958282,00680024
detain|02500687,00461855,00460731
detect|02158938
deter|00910052,00772186
deterge|01395692
deteriorate|00208905,00092045
determine|00920843,00702806,00701581,00949109,00699355,00702474,00765444,00922307
detest|01778057
dethaw|00376777
dethrone|02396595
detick|02370395
detonate|00307505,00307079
detour|02070131
detox|00079541
detoxicate|00506430
detoxify|00506430,00079541
detract|00533195
detrain|02020072
detransitivise|00421862
detransitivize|00421862
detribalise|00159894
detribalize|00159894
detusk|00198588
devaluate|00494865,00315821
devalue|00494865,00494639,00315821
devastate|00389306,00261197
devein|02370480
develop|01742655,01742478,00546637,00094214,02630344,00171865,00927844,00604693,00343635,00252905,00411945,00254647,01630984,00544490,02143239,01472252,01077094,01076902,00403037,00340274,00234758
deviate|02068815,02667330,02069013
devil|01791774,01669402
devilise|00548573
devilize|00548573
devise|01635953,01654986,02234194
devitalise|00166760
devitalize|00166760
devitrify|00506798,00506593
devoice|00952702
devolve|02397527,02234332,00092045
devolve_on|02717862
devote|00888984,00734247,02219499
devour|01568141,01824736,01199565,01199186
diabolise|00548573
diabolize|00548573
diagnose|00647205,00647424
diagonalise|00522954
diagonalize|00522954
diagram|01697348
dial|00791970,00678054
dialyse|00331236
dialyze|00331236
diazotize|00586375
dibble|01570535,01314783
dice|01259431,01141159
dichotomise|00657778
dichotomize|00657778
dicker|02264636
dictate|00749139,00628527,02593176
didder|00014027
diddle|02578034,01589199
die|00359085,02114272,01788772,00435327,01833417,01789061,01557816,01077307,00539403,00355499,00224721
die_away|00245945
die_back|00242912
die_down|00242912,00224594
die_hard|02653599
die_off|00428636
die_out|00428636,01557816
diet|01192545,01191757
differ|02672316,00806464
differentiate|00652006,00653662,00644465,00119332,00119074,00118882
diffract|02033650
diffuse|02064069,01231635,00970243
dig|01312361,01313763,02424873,02148219,01903550,01313320,01232540,00589616
dig_in|01533912,01175354
dig_into|01229439
dig_out|02148219,01314921,01313763
dig_up|01316583,02148219
digest|01199976,00592319,00670017,00482486,00482322,00398893,00245511,00209846
digitalise|00564901
digitalize|00564901,00081262
digitise|00564901
digitize|00564901
dignify|02552573,00545870
digress|00782620,02070232
dike|01590739
dilapidate|01666329,00209244
dilate|00306318,00957633
dilly-dally|02648322
dillydally|02648322
dilute|00226497,00488684
dim|02166741,00314386,00314265,00313060,00311895
dimension|00924113,00142885
diminish|00151509,00442836
dimple|00510530,00028869
din|02191956,00608245
dine|01170315,01170114
dine_in|01169871
dine_out|01169974
ding|02185620
dingdong|02185620
dinge|00547689,00547608
dip|01579924,01194845,00433014,00287243,02316837,02166741,02044954,02043524,02041990,01980234,01664870,01580973,01580815,01315317
dip_into|00627478
dip_solder|01598412
diphthongise|00746223
diphthongize|00746223
direct|00751211,01153025,01714176,02444366,02003830,01955339,01153576,01736802,00751382,00714920,01935739,00992844,00711834
dirty|01536935
disable|00513267,00091720
disabuse|00993609
disaccord|02724418
disadvantage|02519126
disaffect|01827478
disafforest|00196368
disagree|00806464,02724418
disagree_with|00070808
disallow|00797525
disambiguate|00959210
disappear|00427911,02160976,00428350,00224354
disappoint|01802947
disapprove|00676259,00808840
disarm|01090246,01834387,01090416
disarrange|01469362,00278887
disarray|00277172
disarticulate|01297235
disassemble|01661660
disassociate|02435427
disavow|00821736
disband|02034812,02033789
disbar|02486177
disbelieve|00686564
disbud|01324331,00197693
disburden|01490553
disburse|02306463
disc-jockey|01035218
discard|02227100
discase|00049617
discern|02197640
discerp|01575341,01563513
discharge|02569639,01379697,02427126,01491961,01136664,00905999,00104622,01492094,01136251,01100154,00449635
discipline|02559394,02559125
disclaim|00760242,00759420
disclose|00935783,02142175
disco|01901399
discolor|00283693,00282836,00281861
discolorise|00280592
discolorize|00280592
discolour|00281861
discolourise|00280592
discombobulate|01795261,00623406
discomfit|01793821
discommode|02513385
discompose|01793821
disconcert|01794768,01793821
disconnect|01424071,01358741
discontent|01820950
discontinue|02686624,02689663,00363001
discord|02724418
discount|00802592,02324408
discountenance|01796442,00734860
discourage|00910052,01823114,00872241
discourse|01036184,00966726,00816283
discover|02158938,00600349,01641524,00723361,02291532,00935783,02132531,00654017
discredit|00689639,00849158,00686564
discriminate|00651669,02517971,02198211
discuss|01036184,00815640
disdain|01778720,00798638
disembark|01983255
disembarrass|02355171
disembody|02355763
disembowel|00197965
disembroil|02683880
disenable|00513267
disenchant|01821722
disencumber|01588680
disenfranchise|02482269
disengage|01514012,01478583,00220702
disentangle|01588680,01466149,02683880,01526611,00038078
disestablish|00173020
disesteem|00696407
disfavor|02519126
disfavour|02519126
disfigure|01552687
disforest|00196368
disfranchise|02482269
disgorge|01544361,00076153
disgrace|02552922,01804404,00849158
disgruntle|01834542
disguise|02163017
disgust|02199359,01812341
dish|01182648,00264357
dish_out|02299397,01182648
dish_the_dirt|01043826
dish_up|01182648
disharmonize|00568681
dishearten|01823354
dishevel|01476664
dishonor|02552922,02573434,02242725
dishonour|02552922,02573434,02242725
disillusion|01821722
disincarnate|01648832
disincline|00683044
disinfect|00089076
disinfest|02355616
disinherit|02321077
disintegrate|00398482,00400274,00399980
disinter|02462490
disinvest|02390514,02318886,00177253
disinvolve|02683880
disjoin|01296999,01296785
disjoint|02435427,01297235,01296999,01296785
disk|01746296
disk-jockey|01035218
dislike|01780648
dislocate|00466675,00415748
dislodge|01531310,01887337,01530296
dismantle|01665698,01661660,00194878
dismay|01818363,01786469
dismember|01575055,01575341
dismiss|00802592,00803288,02471362,02407967,00902491,00339369
dismount|01962311
disobey|02548878
disoblige|02513385,00887694
disorder|01768023,00277172
disorganise|02440987
disorganize|02440987
disorient|02164171
disorientate|02164171
disown|02321077,00759589
disparage|00847588
dispatch|01958986,02569639,02488014,02374632,01327810
dispel|02006752,02034269
dispense|02299397,02539973,00080825
dispense_with|02350643,02539728,02308215
disperse|01378910,02034269,00331375,02032840,01619512,00970243
dispirit|01818363
displace|02017423,02411141,02407967,01854282
display|02144506,02540893
displease|01821097
displume|02320028,01386929
disport|02498011,01887709
dispose|02359918,02227100,00682760,01499136,00301542
dispose_of|02442187
dispossess|02319638
dispread|02081677
disprove|00669342
dispute|00870790,00777201
disqualify|00302119,00974640
disquiet|01768023
disregard|01061436,00802592,00618547
disrespect|02463257,00696407
disrobe|00049617
disrupt|00780320,00555375,00521437
diss|00850100
dissatisfy|01820612
dissect|01553002,00645135
dissemble|00839722,02152033,01725433
disseminate|00970243
dissent|00806315,02527076,00806464
dissertate|00816283
dissever|02473085
dissimilate|00160820,00160688,00160461
dissimulate|02152254
dissipate|02034269,02032840,01198337,02620865
dissociate|02435427,00716178,00210024
dissolve|00448726,00448264,00356457,02033789,01788618,01788411,00448905,00447284,00376777,00356609,00339369
dissonate|02139793,00568681
dissuade|00772186
distance|02688950,02086042
distemper|01687317
distend|00306318,00257973,00257748
distil|00365521,00229706,00229452,00068238
distill|00476114,00229452,00229706,00365521,00068238
distinguish|00652006,02197640,00653662,00924409,00654017
distort|00837582,01225746,01353381,00838605,00477675
distract|01795785,01768023
distrain|02358748,02358660,02281298
distress|02609431,01802111
distribute|02299397,01381221,02485579,02206426,02047080,00970243,02760730,02760571,02760473,01506762
district|02517816
distrust|00689827
disturb|01774422,01422127,01210147,00521099,00260641
disunify|00369315
disunite|02435427,01559703
ditch|02233050,02232144,02229727,01984934,01565672,01314556
dither|01824127,01823849
ditto|00961059
divagate|00782620
divaricate|02716011,01582991
dive|01971380,01966872,01966678
dive-bomb|01135093
diverge|02036260,02738478,02715780,02667330
diversify|00438078,00437621,00437357
divert|02068815,01956222,02498011,02316994
divest|02319255,02390514,02318886,00177253
divide|02473085,00643760,02627934,01560556,02035003,01559703
divine|02112042,01317608
divorce|02435427,02496283
divulge|00935783
divvy_up|02299140
dizen|00044971
dizzy|00533408
dj|01035218
do|02566500,01716563,02567910,02623620,01649143,02574587,02675578,01622033,00010428,02714981,02528887,00038562,01845714
do_a_job_on|01567617
do_away_with|00472642
do_by|02519853
do_drugs|01203078
do_good|02295917
do_in|01329983
do_it|01429048
do_justice|02142926,00593939
do_one's_best|02569035
do_the_dishes|01535954
do_the_honors|02598699
do_up|01286214,00042809
do_well|02729439
do_well_by|02521773
do_work|02415985
dock|02089989,02318670,02220048,01558960,01308391
docket|01010746,01010573
doctor|00489366,00080057,00261534
doctor_up|00489366
document|01004342,00668428
dodder|01922796
dodge|02100772,02100948,00811316
doff|01593579
dog|02005890
dogfight|01651915,01095237
dogmatise|00982940,00965315
dogmatize|00982940,00965315
dogsled|01943265
dole_out|02299397
doll_up|00042809
domesticate|00303245,00302911,00302637
domesticise|00302911
domesticize|00302911
domicile|02656647
domiciliate|02656647,02464596
dominate|02650318,02653015,02545000,02750155,02701971
domineer|01785576
don|00050369
donate|02267835
dong|02185620
doodle|01697219
doom|00748465,00908688,00892376
dope|01203444,00558099,00084799
dope_off|00017275
dope_up|00084799
dose|00517664,00084491
doss|00017667
doss_down|00017667
dot|02695724,01378910,01000339,00508994
dote|02703452,01781380
double|00247103,01412177,02067237,01528293,02305386,01738383
double-check|00665467
double-date|02491678
double-glaze|02340523
double-park|01938835
double-space|01007593
double-team|01150926
double_back|02008542
double_birdie|01601558
double_bogey|01601706
double_crochet|01677032
double_cross|02543478
double_dye|00289076
double_over|02067237
double_stitch|01677032
double_tongue|01738012
double_up|02067237,02300678,01142049
doubt|00689196,00689424
douche|00037912
douse|02766453,02655322,01980234,01579924,00437046,00422259,00216642
dovetail|02666368
dower|02206050
down|01204994,01199565,01105747,01985293,01242426,00474948
downgrade|00662401
download|02238486
downplay|00842804,00514573
downsize|02408915,00587970,00587808
dowse|02655322,01317800,00422259,00216642
doze|00015296
doze_off|00017275
draft|01705493,01099911,01687477
drag|01456044,01457421,02683607,02103822,02062680,01201647,02106067,01921838,01247256,00785736,00342412
drag_a_bunt|01410951
drag_down|01600017
drag_in|02683607
drag_on|02711288,00342412
drag_one's_feet|02648322
drag_one's_heels|02648322
drag_out|02711288,00342412
drag_through_the_mud|00849849
drag_up|01027794
draggle|00217118
dragoon|02511830,02429380
drain|02075385,01160320,00452603,00390309
drain_the_cup|01178234
dramatise|01705170,00990319,00958437
dramatize|01705170,00990319,00958437
drape|01545307,01545782,01619938,01615391
draught|01687477
draw|01450719,02298109,01585566,00732743,01999243,01694189,01858118,00989103,00677820,01764144,01201647,02092374,02316367,01080443,01646839,00557670,02102078,01694711,01647006,01245712,02747982,02634913,02489153,02107440,01541851,01507886,01362135,01245862,01214794,01117608,00477896,00431761,00328792,00197965,00143158,00096783
draw_a_bead_on|01154093,00707283
draw_a_blank|00610654
draw_a_line|00235237
draw_and_quarter|02489153
draw_away|02003720,01595695
draw_back|01998474,01612677
draw_close|01427599,02057865,01612857
draw_in|01509215,01507886,02102736,02058627,02019236,01284745
draw_near|02057865
draw_off|01595695,02316367
draw_out|00746762,00318689,01822505,01634074,01543481,01353852
draw_rein|02447602
draw_the_line|00235237
draw_together|01609993
draw_up|02453599,01986700,01867396,00708633,01867144
drawl|00982208
dread|01784021
dream|01641175,02122725
dream_up|01637684
